season,episode_number,title,rating
1,1,Ambush,7.3
1,2,Rising Malevolence,7.4
1,3,Shadow of Malevolence,7.3
1,4,Destroy Malevolence,7.4
1,5,Rookies,7.9
1,6,Downfall of a Droid,6.7
1,7,Duel of the Droids,7.2
1,8,Bombad Jedi,6.1
1,9,Cloak of Darkness,8.0
1,10,Lair of Grievous,8.1
1,11,Dooku Captured,7.3
1,12,The Gungan General,7.0
1,13,Jedi Crash,7.4
1,14,Defenders of Peace,7.4
1,15,Trespass,7.7
1,16,The Hidden Enemy,7.7
1,17,Blue Shadow Virus,6.7
1,18,Mystery of a Thousand Moons,7.0
1,19,Storm Over Ryloth,7.6
1,20,Innocents of Ryloth,8.0
1,21,Liberty on Ryloth,7.6
1,22,Hostage Crisis,7.9
2,1,Holocron Heist,7.9
2,2,Cargo of Doom,8.0
2,3,Children of the Force,7.7
2,4,Senate Spy,7.0
2,5,Landing at Point Rain,8.2
2,6,Weapons Factory,7.8
2,7,Legacy of Terror,7.7
2,8,Brain Invaders,8.0
2,9,Grievous Intrigue,7.9
2,10,The Deserter,8.1
2,11,Lightsaber Lost,7.6
2,12,The Mandalore Plot,8.0
2,13,Voyage of Temptation,8.1
2,14,Duchess of Mandalore,7.6
2,15,Senate Murders,6.8
2,16,Cat and Mouse,7.5
2,17,Bounty Hunters,7.5
2,18,The Zillo Beast,7.4
2,19,The Zillo Beast Strikes Back,7.6
2,20,Death Trap,7.8
2,21,R2 Come Home,7.6
2,22,Lethal Trackdown,8.0
3,1,Clone Cadets,7.8
3,2,ARC Troopers,8.5
3,3,Supply Lines,7.0
3,4,Sphere of Influence,7.0
3,5,Corruption,6.8
3,6,The Academy,6.9
3,7,Assassin,7.6
3,8,Evil Plans,6.2
3,9,Hunt for Ziro,7.2
3,10,Heroes on Both Sides,7.6
3,11,Pursuit of Peace,7.2
3,12,Nightsisters,8.6
3,13,Monster,8.7
3,14,Witches of the Mist,8.9
3,15,Overlords,8.9
3,16,Altar of Mortis,8.6
3,17,Ghosts of Mortis,8.9
3,18,The Citadel,8.1
3,19,Counter Attack,8.1
3,20,Citadel Rescue,8.2
3,21,Padawan Lost,7.7
3,22,Wookiee Hunt,8.0
4,1,Water War,7.1
4,2,Gungan Attack,7.1
4,3,Prisoners,7.2
4,4,Shadow Warrior,7.2
4,5,Mercy Mission,6.1
4,6,Nomad Droids,6.3
4,7,Darkness on Umbara,8.5
4,8,The General,8.6
4,9,Plan of Dissent,8.7
4,10,Carnage of Krell,9.3
4,11,Kidnapped,7.7
4,12,Slaves of the Republic,7.9
4,13,Escape from Kadavo,8.1
4,14,A Friend in Need,8.0
4,15,Deception,8.4
4,16,Friends and Enemies,8.3
4,17,The Box,8.7
4,18,Crisis on Naboo,8.2
4,19,Massacre,8.0
4,20,Bounty,8.2
4,21,Brothers,8.2
4,22,Revenge,9.0
5,1,Revival,8.8
5,2,A War on Two Fronts,7.4
5,3,Front Runners,7.4
5,4,The Soft War,7.5
5,5,Tipping Points,8.0
5,6,The Gathering,7.9
5,7,A Test of Strength,7.7
5,8,Bound for Rescue,7.4
5,9,A Necessary Bond,8.0
5,10,Secret Weapons,6.4
5,11,A Sunny Day in the Void,6.2
5,12,Missing in Action,7.2
5,13,Point of No Return,7.0
5,14,Eminence,8.8
5,15,Shades of Reason,9.1
5,16,The Lawless,9.7
5,17,Sabotage,8.1
5,18,The Jedi Who Knew Too Much,9.1
5,19,To Catch a Jedi,9.0
5,20,The Wrong Jedi,9.6
6,1,The Unknown,8.2
6,2,Conspiracy,8.2
6,3,Fugitive,8.3
6,4,Orders,8.8
6,5,An Old Friend,7.1
6,6,The Rise of Clovis,7.2
6,7,Crisis at the Heart,7.5
6,8,The Disappeared: Part 1,6.5
6,9,The Disappeared: Part 2,6.8
6,10,The Lost One,8.5
6,11,Voices,8.8
6,12,Destiny,8.7
6,13,Sacrifice,9.1
7,1,The Bad Batch,8.2
7,2,A Distant Echo,8.1
7,3,On the Wings of Keeradaks,7.7
7,4,Unfinished Business,8.5
7,5,Gone with a Trace,6.5
7,6,Deal No Deal,6.2
7,7,Dangerous Debt,6.0
7,8,Together Again,7.0
7,9,Old Friends Not Forgotten,9.7
7,10,The Phantom Apprentice,9.8
7,11,Shattered,9.8
7,12,Victory and Death,9.9
